rank,input_difference,output_mask,samples,matches,probability,bias,correlation,abs_correlation,standard_error,approx_95ci_low,approx_95ci_high,seed,rounds,feedforward
34,w00.b00,w12.b23,512,241,0.470703125,-0.029296875,-0.05859375,0.05859375,0.022059122134973824,0.4274672456154513,0.5139390043845486,20260617,4,False
35,w04.b00,w10.b13,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
36,w05.b00+w10.b00,w08.b13+w12.b13,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
37,w05.b07,w00.b00,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
38,w06.b24,w05.b09,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
39,w08.b09,w00.b07+w04.b07,512,241,0.470703125,-0.029296875,-0.05859375,0.05859375,0.022059122134973824,0.4274672456154513,0.5139390043845486,20260617,4,False
40,w12.b13,w01.b00,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
41,w12.b13,w07.b23,512,271,0.529296875,0.029296875,0.05859375,0.05859375,0.022059122134973824,0.4860609956154513,0.5725327543845486,20260617,4,False
42,w00.b00+w01.b00,w00.b00+w01.b00,512,270,0.52734375,0.02734375,0.0546875,0.0546875,0.0220640190401251,0.4840982726813548,0.5705892273186451,20260617,4,False
43,w01.b25,w01.b00,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
44,w04.b00,w00.b07+w04.b07,512,270,0.52734375,0.02734375,0.0546875,0.0546875,0.0220640190401251,0.4840982726813548,0.5705892273186451,20260617,4,False
45,w05.b00+w10.b00,w13.b19,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
46,w06.b24,w00.b00+w01.b00,512,270,0.52734375,0.02734375,0.0546875,0.0546875,0.0220640190401251,0.4840982726813548,0.5705892273186451,20260617,4,False
47,w06.b24,w05.b09+w10.b09,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
48,w08.b13+w12.b13,w13.b00,512,270,0.52734375,0.02734375,0.0546875,0.0546875,0.0220640190401251,0.4840982726813548,0.5705892273186451,20260617,4,False
49,w12.b13,w00.b07,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
50,w12.b13,w03.b29,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
51,w15.b18,w08.b13+w12.b13,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
52,w15.b28,w07.b23,512,242,0.47265625,-0.02734375,-0.0546875,0.0546875,0.0220640190401251,0.4294107726813548,0.5159017273186451,20260617,4,False
53,w00.b00+w01.b00,w08.b13+w12.b13,512,269,0.525390625,0.025390625,0.05078125,0.05078125,0.022068577250904053,0.48213621358822806,0.5686450364117719,20260617,4,False
54,w00.b07+w04.b07,w05.b09,512,269,0.525390625,0.025390625,0.05078125,0.05078125,0.022068577250904053,0.48213621358822806,0.5686450364117719,20260617,4,False
55,w06.b24,w03.b29,512,243,0.474609375,-0.025390625,-0.05078125,0.05078125,0.022068577250904053,0.43135496358822806,0.5178637864117719,20260617,4,False
56,w09.b03,w10.b13,512,243,0.474609375,-0.025390625,-0.05078125,0.05078125,0.022068577250904053,0.43135496358822806,0.5178637864117719,20260617,4,False
57,w09.b28,w13.b00,512,269,0.525390625,0.025390625,0.05078125,0.05078125,0.022068577250904053,0.48213621358822806,0.5686450364117719,20260617,4,False
58,w15.b18,w12.b23,512,269,0.525390625,0.025390625,0.05078125,0.05078125,0.022068577250904053,0.48213621358822806,0.5686450364117719,20260617,4,False
59,w15.b28,w13.b19,512,269,0.525390625,0.025390625,0.05078125,0.05078125,0.022068577250904053,0.48213621358822806,0.5686450364117719,20260617,4,False
60,w00.b00,w07.b23,512,268,0.5234375,0.0234375,0.046875,0.046875,0.02207279697714005,0.4801748179248055,0.5667001820751945,20260617,4,False
61,w01.b00,w13.b00,512,268,0.5234375,0.0234375,0.046875,0.046875,0.02207279697714005,0.4801748179248055,0.5667001820751945,20260617,4,False
62,w01.b25,w08.b13+w12.b13,512,244,0.4765625,-0.0234375,-0.046875,0.046875,0.02207279697714005,0.4332998179248055,0.5198251820751945,20260617,4,False
63,w05.b00+w10.b00,w00.b07+w04.b07,512,244,0.4765625,-0.0234375,-0.046875,0.046875,0.02207279697714005,0.4332998179248055,0.5198251820751945,20260617,4,False
64,w05.b07,w05.b09,512,268,0.5234375,0.0234375,0.046875,0.046875,0.02207279697714005,0.4801748179248055,0.5667001820751945,20260617,4,False
65,w05.b07,w13.b19,512,244,0.4765625,-0.0234375,-0.046875,0.046875,0.02207279697714005,0.4332998179248055,0.5198251820751945,20260617,4,False
66,w06.b24,w00.b07+w04.b07,512,244,0.4765625,-0.0234375,-0.046875,0.046875,0.02207279697714005,0.4332998179248055,0.5198251820751945,20260617,4,False
67,w08.b09,w10.b13,512,268,0.5234375,0.0234375,0.046875,0.046875,0.02207279697714005,0.4801748179248055,0.5667001820751945,20260617,4,False
68,w09.b03,w03.b29,512,244,0.4765625,-0.0234375,-0.046875,0.046875,0.02207279697714005,0.4332998179248055,0.5198251820751945,20260617,4,False
69,w12.b13,w00.b00,512,268,0.5234375,0.0234375,0.046875,0.046875,0.02207279697714005,0.4801748179248055,0.5667001820751945,20260617,4,False
70,w15.b28,w00.b00+w01.b00,512,268,0.5234375,0.0234375,0.046875,0.046875,0.02207279697714005,0.4801748179248055,0.5667001820751945,20260617,4,False
71,w00.b00,w10.b13,512,267,0.521484375,0.021484375,0.04296875,0.04296875,0.02207667841292644,0.47821408531066417,0.5647546646893358,20260617,4,False
72,w01.b00,w00.b07,512,245,0.478515625,-0.021484375,-0.04296875,0.04296875,0.02207667841292644,0.43524533531066417,0.5217859146893358,20260617,4,False
73,w01.b25,w07.b23,512,245,0.478515625,-0.021484375,-0.04296875,0.04296875,0.02207667841292644,0.43524533531066417,0.5217859146893358,20260617,4,False
74,w01.b25,w12.b23,512,267,0.521484375,0.021484375,0.04296875,0.04296875,0.02207667841292644,0.47821408531066417,0.5647546646893358,20260617,4,False
